team_id,team_owner,player_id,player_name_x,position_x,team_x,player_name_y,team_y,position_y,years_kept,draft_value_y1,final_value_y1,keeper_value_y1
368858973010452480,JonBenét Rams,1234,Russell Wilson,QB,SEA,Russell Wilson,SEA,QB,0,21.0,21,35
368858973010452480,JonBenét Rams,1386,Giovani Bernard,RB,TB,Giovani Bernard,TB,RB,0,0.0,0,2
368858973010452480,JonBenét Rams,2238,John Brown,WR,LV,John Brown,LV,WR,0,2.0,2,4
368858973010452480,JonBenét Rams,2325,Nelson Agholor,WR,NE,Nelson Agholor,NE,WR,0,0.0,4,8
368858973010452480,JonBenét Rams,3164,Ezekiel Elliott,RB,DAL,Ezekiel Elliott,DAL,RB,0,55.0,55,59
368858973010452480,JonBenét Rams,3321,Tyreek Hill,WR,KC,Tyreek Hill,KC,WR,0,42.0,42,55
368858973010452480,JonBenét Rams,3328,Rashard Higgins,WR,CLE,Rashard Higgins,CLE,WR,0,0.0,0,2
368858973010452480,JonBenét Rams,4131,Kenny Golladay,WR,NYG,Kenny Golladay,NYG,WR,0,17.0,17,30
368858973010452480,JonBenét Rams,4273,Chris Carson,RB,SEA,Chris Carson,SEA,RB,0,27.0,27,42
368858973010452480,JonBenét Rams,4381,Taysom Hill,QB,NO,Taysom Hill,NO,QB,0,1.0,1,2
368858973010452480,JonBenét Rams,4718,Dare Ogunbowale,RB,JAX,Dare Ogunbowale,JAX,RB,0,0.0,4,8
368858973010452480,JonBenét Rams,4993,Mike Gesicki,TE,MIA,Mike Gesicki,MIA,TE,0,1.0,1,2
368858973010452480,JonBenét Rams,5004,Ito Smith,RB,ARI,Ito Smith,ATL,RB,0,0.0,11,21
368858973010452480,JonBenét Rams,5012,Mark Andrews,TE,BAL,Mark Andrews,BAL,TE,0,13.0,13,24
368858973010452480,JonBenét Rams,5022,Dallas Goedert,TE,PHI,Dallas Goedert,PHI,TE,0,1.0,1,2
368858973010452480,JonBenét Rams,5052,Ronald Jones,RB,TB,Ronald Jones,TB,RB,0,2.0,2,4
368858973010452480,JonBenét Rams,5846,DK Metcalf,WR,SEA,DK Metcalf,SEA,WR,0,9.0,9,17
368858973010452480,JonBenét Rams,5849,Kyler Murray,QB,ARI,Kyler Murray,ARI,QB,0,16.0,16,28
368858973010452480,JonBenét Rams,6063,Tyron Johnson,WR,LAC,Tyron Johnson,LAC,WR,0,0.0,0,2
368858973010452480,JonBenét Rams,6820,Clyde Edwards-Helaire,RB,KC,Clyde Edwards-Helaire,KC,RB,0,48.0,48,58
368858973010452480,JonBenét Rams,6904,Jalen Hurts,QB,PHI,Jalen Hurts,PHI,QB,0,0.0,0,2
368858973010452480,JonBenét Rams,6918,Salvon Ahmed,RB,MIA,Salvon Ahmed,MIA,RB,0,0.0,4,8
368858973010452480,JonBenét Rams,6938,Cam Akers,RB,LAR,Cam Akers,LAR,RB,0,17.0,17,30
562348939237478400,La Panenka,1166,Kirk Cousins,QB,MIN,Kirk Cousins,MIN,QB,0,1.0,1,2
